"カテゴリ","優先度","領域","現状の仕様やUI","問題点・リスク","改善案","根拠ファイル"
"システムの改善点","高","注文作成","注文作成時にクライアントから渡されたcard.buy_priceで合計金額と明細単価を計算している","ユーザーがローカルデータを改ざんすると買取価格やカード情報を不正に送れる","サーバー側でcard_idからpublic.cardsを再取得し価格と名称を確定する。リスト外商品は専用種別で扱う","app/actions/orders.ts"
"システムの改善点","高","注文作成","sampleカードやunlistedカードはcard_idをnullにして注文明細に保存している","サンプルデータが本番注文に混入した場合に実在カードとの区別が難しい","本番ではsampleカードを送信不可にしunlisted専用フラグと申告メモを保存する","app/actions/orders.ts; app/cart/CartForm.tsx"
"システムの改善点","高","CSV取込","CSVは独自の1行パーサーで解析している","改行を含む引用セルや複雑なCSVで取り込みミスが起きる可能性がある","実績のあるCSVパーサーを使いUTF-8 BOMとShift_JISも明示的に扱う","lib/admin/cardsCsvImport.ts; app/admin/(protected)/cards/actions.ts"
"システムの改善点","高","CSV画像取込","外部画像のダウンロードをCSV取込リクエスト内で順番に実行している","大量CSVではVercelやサーバーレスのタイムアウトに到達しやすい","キューまたはジョブテーブルに分離し管理画面は進捗ポーリングにする","lib/admin/cardsCsvImport.ts; app/api/admin/cards/import/route.ts"
"システムの改善点","高","CSV画像取込","外部URLはhttpとhttpsを受け付けfetchでリダイレクトを追っている","SSRFや社内IP向けアクセスなどのリスクが残る","プライベートIPとlocalhostを拒否し必要なら許可ドメイン制にする","lib/admin/cardsCsvImport.ts"
"システムの改善点","中","CSV画像取込","画像アップロード前にBucketを実行時作成する処理がある","本番権限や移行状態によって挙動が分かれ障害原因が追いにくい","Bucketはマイグレーションで必ず作成し実行時は存在チェックと分かりやすいエラーに絞る","lib/admin/cardsCsvImport.ts; app/admin/(protected)/cards/actions.ts; supabase/migrations/005_card_images.sql"
"システムの改善点","中","CSV画像取込","画像を先にダウンロードして最後にcardsへ一括insertしている","insert失敗時にStorage側へ孤児画像が残る可能性がある","DB insert失敗時のStorage削除ロールバックか画像アップロード前の入力検証を強化する","lib/admin/cardsCsvImport.ts"
"システムの改善点","中","カード管理","カード画像URLの重複は表示側で抑制している","データ品質の問題が永続化され管理側で検知しにくい","CSV取込と保存時に重複画像URLを警告し重複許可の理由を残す","app/components/HomeCardSection.tsx; app/cart/CartForm.tsx; app/admin/(protected)/cards/CardsAdminClient.tsx"
"システムの改善点","中","カード検索性能","カート買取ページはpublic.cardsを全件取得してクライアントで検索とページングをしている","カード数が増えると初回表示と検索が重くなる","サーバー側ページングと全文検索用RPCまたはAPIを用意する","app/cart/page.tsx; app/cart/CartForm.tsx"
"システムの改善点","中","画像通信量","カード一覧で表示中画像を事前読み込みしている","モバイル回線では通信量が増えやすい","saveDataや接続種別を見てプリロード量を調整しサムネイルサイズを使う","app/cart/CartForm.tsx"
"システムの改善点","高","PV計測","PV APIはservice roleでpage_viewsへinsertし30秒重複だけ抑制している","短時間連打やボットでDB書き込みが増える。service role経路なので防御が重要","IPを保存しない方針は維持しつつレート制限とUser-Agent除外と集計テーブルを追加する","app/api/page-view/route.ts; supabase/migrations/004_page_views.sql"
"システムの改善点","中","PV計測","PVのsession_idはsessionStorageに保存される","新しいタブやブラウザ再起動で別セッションになりPVが膨らみやすい","匿名CookieまたはlocalStorageに期限付きIDを置くかPVとセッションを別指標として扱う","app/components/PageViewTracker.tsx"
"システムの改善点","中","PV計測","page_viewsテーブルに保持期限がない","長期運用でテーブルが肥大化し管理画面集計が遅くなる","日次集計テーブルと生ログの保持期間を決めCronで削除する","supabase/migrations/004_page_views.sql; app/admin/(protected)/page.tsx"
"システムの改善点","高","管理画面ユーザー","ユーザー一覧はprofilesを80件まで取得しメールはauth.admin.getUserByIdをユーザーごとに呼ぶ","ユーザー数増加で遅くなり80件超が表示されない","ページネーションを追加しメールはprofiles側に同期または一覧APIでまとめて取得する","app/admin/(protected)/users/page.tsx"
"システムの改善点","中","管理画面取引","取引一覧は直近100件までを表示している","100件を超える注文が管理対象から漏れる可能性がある","ページネーションと検索フィルタを追加する","app/admin/(protected)/orders/page.tsx"
"システムの改善点","高","ステータス更新","ユーザー向け更新処理は前進のみだが管理画面のsetOrderStatusは任意のステータス変更を許している","誤操作で完了から受付へ戻すなど履歴や通知が不整合になる","許可する遷移ルールを一元化し戻し操作は確認と理由入力を必須にする","app/actions/orders.ts; app/admin/(protected)/orders/actions.ts; lib/types.ts"
"システムの改善点","中","メール通知","特定ステータスでメール通知を送っている","同じステータスへの再変更や戻し操作で重複送信が起きる可能性がある","order_status_logsに通知済みフラグを持たせ冪等に送信する","app/admin/(protected)/orders/actions.ts; app/actions/orders.ts; lib/email/send.ts"
"システムの改善点","中","Supabase設定","トップページはSupabase環境変数がない場合に空データで描画する","デプロイ設定漏れに気付きにくく本番で静かにコンテンツが消える","管理画面に環境チェックを出し本番では必須env不足を明示的にエラーにする","app/page.tsx; lib/supabase/admin.ts"
"システムの改善点","中","ストレージ権限","card-imagesバケットはpublicで公開される","カード画像としては問題ないが誤って個人情報画像を入れると公開される","カード画像用と本人確認画像用のUIとバケットを明確に分けMIMEとパス制約を強める","supabase/migrations/005_card_images.sql; supabase/migrations/005_identity_images_bucket.sql"
"システムの改善点","高","本人確認情報","プロフィールに本人確認画像URLや銀行情報を保持している","個人情報が多く監査ログやアクセス権の設計が重要になる","管理者操作ログと閲覧権限の分離と保持期間を定義する","supabase/migrations/001_init.sql; components/auth/RegisterForm.tsx"
"システムの改善点","中","テスト範囲","Vitestは一部の型と注文計算とメールテンプレート中心に見える","トップページやカート検索やCSV取込や管理ステータス更新の回帰を検知しにくい","PlaywrightまたはTesting Libraryで主要導線とCSV取込のテストを追加する","__tests__; app/cart/CartForm.tsx; lib/admin/cardsCsvImport.ts"
"システムの改善点","中","APIエラーハンドリング","一部の非同期送信は失敗を握りつぶしている","PVやメールなどの不具合が利用者には影響しない一方で運用者が気付きにくい","ユーザー非表示のままVercel LogsやSupabaseログに構造化エラーを残す","app/components/PageViewTracker.tsx; lib/email/send.ts"
"その他","高","本番リンク未確定","LINE査定・オンラインストア・買取の流れの正式URLが未確定","実装だけでは完了できない外部依存が残っている","公開前チェックリストに正式URL設定を入れる","app/page.tsx; app/cart/CartForm.tsx"
"その他","高","プライバシー・法務","PV計測と本人確認画像と銀行情報を扱う","プライバシーポリシーと社内運用ルールが実装と一致していないとリスクが高い","取得項目・利用目的・保持期間・削除依頼対応を文書化する","app/api/page-view/route.ts; supabase/migrations/001_init.sql"
"その他","中","ドキュメント","READMEがcreate-next-appの初期文面のまま残っている","開発者や運用者がセットアップ・管理者作成・Supabase移行手順を追いにくい","READMEをTCG ROYAL用に更新し.env・migration・admin作成・Vercel設定を明記する","README.md; .env.example; supabase/migrations"
"その他","中","運用監視","CSV取込や注文作成やステータス変更の運用監視が明示されていない","本番障害時にどこで失敗したか追いにくい","重要操作に構造化ログと管理画面の失敗履歴を追加する","app/api/admin/cards/import/route.ts; app/actions/orders.ts; app/admin/(protected)/orders/actions.ts"
"その他","中","アクセシビリティ","アイコンボタンやカルーセルやモーダルが多い","キーボード操作とスクリーンリーダーで使いづらい箇所が出やすい","aria-label・focus trap・Esc close・autoplay pauseを全モーダルとカルーセルで確認する","app/components/SiteHeader.tsx; app/components/HomeBannerCarousel.tsx; app/admin/(protected)/cards/CardsAdminClient.tsx"
"その他","低","SEO・SNS表示","メタデータやOG表示の作り込みは限定的に見える","共有時の見え方や検索流入で損をする可能性がある","トップ・カート買取・ログイン周辺のtitle description og:imageを整備する","app/layout.tsx; app/page.tsx"
"その他","中","データ移行","cardsやprofilesなどの初期データと運用データが増える前提になっている","バックアップやリストア手順がないと誤削除時に復旧しづらい","Supabaseバックアップ方針とCSVエクスポートを管理画面に追加する","supabase/migrations; app/admin/(protected)/cards; app/admin/(protected)/users"
"その他","低","ソースコメント","一部ファイルでPowerShell表示時にコメントが文字化けして見えることがある","実害は低いがエディタや端末によってレビューしづらい可能性がある","UTF-8を前提に.editorconfigを追加しコメント文字列を確認する","app/components/PageViewTracker.tsx; supabase/migrations"
"その他","中","デザインシステム","一般画面と管理画面でライト・ダーク・黒背景のルールが混在しやすい","今後の修正でまた表記揺れやテーマ戻りの問題が出る可能性がある","一般画面と管理画面のテーマ方針を定義し色と余白とボタンを共通化する","app/globals.css; app/components/ThemeProvider.tsx; app/admin/(protected)/AdminShell.tsx"
